GDS Record Locator,Reservation Date,Check In Date,Check Out Date,Hotel Chain Code,Hotel Chain Name,Hotel Property Name,Hotel Address,Hotel City Name,Hotel State,Hotel Zip Code,Hotel Country Code,Number of Room Nights,Daily Rate,Room Rate Code,Online Indicator
2Y33LD,10/14/10,10/19/10,10/22/10,MC,MARRIOTT HOTELS,Marriott Jackson Downtown MS,200 Amite St,Jackson                  ,MS,39201,US,3,77.00,GOVA00,N
2YPPY3,10/13/10,10/18/10,10/22/10,HY,HYATT HOTELS,Grand Hyatt-DC  Washington Ctr.,1000 H Street NW,Washington               ,DC,20001,US,4,211.00,DBLFPL,Y
2ZCV4S,9/29/10,10/3/10,10/4/10,LM,LEXINGTON MGNT CORP.,La Posada Hotel And Suites,1000 Zaragoza Street,Laredo                   ,TX,78040,US,1,78.00,A1KGOV,Y
2ZEREM,9/28/10,10/7/10,10/8/10,MC,MARRIOTT HOTELS,Marriott Airport Seattle WA,3201 S 176Th St,Seattle                  ,WA,98188,US,1,139.00,GOVA00,N
32E9BW,10/21/10,10/25/10,10/28/10,ES,EMBASSY SUITES,Embassy Suites Cleveland OH Dwtn,1701 East 12Th Street,Cleveland                ,OH,44114,US,3,102.00,A0BA4M,Y
32H3RN,10/21/10,10/26/10,10/28/10,MC,MARRIOTT HOTELS,Marriott Houston West Loop TX,1750 West Loop South,Houston                  ,TX,77027,US,2,109.00,GOVA00,Y
32MCM5,10/22/10,11/1/10,11/2/10,SI,SHERATON HOTELS,Sheraton Denver West Hotel Lakewood CO,360 Union Blvd,Denver                   ,CO,80228,US,1,141.00,A1KG1B,Y
32MCM5,10/22/10,11/1/10,11/2/10,SI,SHERATON HOTELS,Sheraton Denver West Hotel Lakewood CO,360 Union Blvd,Denver                   ,CO,80228,US,1,141.00,A1KG1B,Y
32NIQZ,11/1/10,11/1/10,11/2/10,SI,SHERATON HOTELS,Sheraton Denver West Hotel Lakewood CO,360 Union Blvd,Denver                   ,CO,80228,US,1,141.00,A1KG1B,Y
32NIQZ,11/1/10,11/1/10,11/2/10,SI,SHERATON HOTELS,Sheraton Denver West Hotel Lakewood CO,360 Union Blvd,Denver                   ,CO,80228,US,1,141.00,A1KG1B,Y
32NXY2,10/22/10,10/28/10,10/29/10,RZ,RITZ CARLTON HOTELS,Ritz-Carlton San Juan,6961 Avenue Of The Governors,Carolina,,00979,PR,1,195.00,GVBF00,Y
32PV8H,10/21/10,10/27/10,10/28/10,HI,HOLIDAY INNS,Holiday Inn Expste Fort Pierre SD,110 East Stanley Road,Fort Pierre              ,SD,57532,US,1,77.00,TQNN52,Y
32RJ2Q,10/22/10,11/1/10,11/2/10,CP,CROWNE PLAZA HOTELS,Crowne Plaza Downtown St Louis MO,200 North Fourth Street,Saint Louis              ,MO,63102,US,1,105.00,OQNN52,Y
32WNLG,10/21/10,11/16/10,11/19/10,CY,COURTYARD BY MARRIOTT,Courtyard South Kansas City,500 East 105th Street,Kansas City              ,MO,64131,US,3,99.00,GOVA00,Y
333O2B,10/22/10,10/25/10,11/19/10,KC,KIMCO HOTELS,Serrano Hotel,405 Taylor Street At O Farrell,San Francisco            ,CA,94102,US,25,174.00,A1QXVU,N
33A7O2,10/22/10,10/28/10,10/29/10,WI,WESTIN HOTELS,Westin Book Cadillac Detroit MI,1114 Washington Blvd,Detroit                  ,MI,48226,US,1,95.00,A1KGOV,N
346GJY,10/28/10,11/2/10,11/3/10,MC,MARRIOTT HOTELS,Marriott Jw Pennsylvania Ave,1331 Pennsylvania Ave,Washington               ,DC,20004,US,1,181.00,GOVA00,N
346GJY,11/2/10,11/2/10,11/3/10,MC,MARRIOTT HOTELS,Marriott Jw Pennsylvania Ave,1331 Pennsylvania Ave,Washington               ,DC,20004,US,1,181.00,GOVA00,N
346GLM,10/26/10,11/2/10,11/4/10,MC,MARRIOTT HOTELS,Marriott Jw Pennsylvania Ave,1331 Pennsylvania Ave,Washington               ,DC,20004,US,2,181.00,GOVA00,N
347U47,10/22/10,11/1/10,11/2/10,DT,DOUBLETREE HOTELS,Doubletree Wash DC,1515 Rhode Island Ave Nw,Washington               ,DC,20005,US,1,181.00,A04ACV,Y
34IBMQ,12/1/10,12/5/10,12/11/10,MC,MARRIOTT HOTELS,Marriott Norfolk Waterside,235 E Main St,Norfolk                  ,VA,23510,US,6,92.00,GVT,N
34NYMC,11/3/10,11/8/10,11/10/10,UI,UTELL INTERNATIONAL,State Plaza Hotel,2117 E Street Northwest,Washington               ,DC,20037,US,2,181.00,A0FA02,Y
34P6RA,10/22/10,10/27/10,10/28/10,HG,HOMEWOOD SUITE,Homewood Suites-Charlotte NC Arpt,2770 Yorkmont Road,Charlotte                ,NC,28208,US,1,95.00,A02A22,Y
34RJ87,10/22/10,11/1/10,11/3/10,HH,HILTON/CONRAD HOTELS,Hilton Crystal City Natl Arpt Arlington,2399 Jefferson Davis Highway,Arlington                ,VA,22202,US,2,181.00,A0CE0J,Y
34XLPJ,10/22/10,11/3/10,11/4/10,HI,HOLIDAY INNS,Holiday Inn Select Minn-St Paul Intl Arp,Three Appletree Square,Minneapolis              ,MN,55425,US,1,120.00,KNGSXV,Y
34XLPJ,10/22/10,11/3/10,11/4/10,HI,HOLIDAY INNS,Holiday Inn Select Minn-St Paul Intl Arp,Three Appletree Square,Minneapolis              ,MN,55425,US,1,120.00,KNGSXV,Y
352MQU,10/22/10,11/4/10,11/5/10,DT,DOUBLETREE HOTELS,Doubletree Ft Lauderdale Ocean FL,440 Seabreeze Boulevard,Fort Lauderdale          ,FL,33316,US,1,117.00,FDMT00,Y
35A9U3,10/22/10,11/8/10,11/10/10,MC,MARRIOTT HOTELS,Marriott Washington,1221 22Nd St Nw,Washington               ,DC,20037,US,2,181.00,GOVA00,Y
362YRO,10/22/10,11/3/10,11/4/10,HI,HOLIDAY INNS,Holiday Inn Select Capital,450 Capitol Avenue,Atlanta                  ,GA,30312,US,1,99.00,TWCNXV,Y
364HVJ,10/22/10,10/27/10,10/29/10,GH,GRAND HERITAGE,Condado Plaza San Juan,999 Ashford Avenue,San Juan,,00902,PR,2,139.00,A0CA1E,Y
36FLJG,10/20/10,10/21/10,10/22/10,HI,HOLIDAY INNS,Holiday Inn Express Suites Clovis CA,650 West Shaw Avenue,Clovis                   ,CA,93612,US,1,84.00,XKLNXV,N
36H8CO,10/20/10,10/26/10,10/27/10,SI,SHERATON HOTELS,Four Pts Sheraton New Orleans,333 Poydras Street,New Orleans              ,LA,70130,US,1,131.00,X2DGOV,Y
36JAHO,10/21/10,10/26/10,10/27/10,SI,SHERATON HOTELS,Four Pts Sheraton New Orleans,333 Poydras Street,New Orleans              ,LA,70130,US,1,131.00,X2DGOV,Y
36ONLL,10/21/10,10/26/10,10/27/10,MO,MANDARIN ORIENTAL HOTELS,Mandarin Oriental Washington DC,1330 Maryland Avenue Sw,Washington               ,DC,20024,US,1,225.00,A1KXVU,N
37BDWX,10/19/10,10/21/10,10/22/10,BW,BEST WESTERN INTL,Best Western Kodiak Inn AK,236 Rezanof W,Kodiak                   ,AK,99615,US,1,99.00,A1KXVU,N
37CHDD,10/21/10,11/2/10,11/5/10,CP,CROWNE PLAZA HOTELS,Crowne Plaza Billings MT,27 North 27Th St,Billings                 ,MT,59101,US,3,77.00,CSTNXV,Y
37CQOZ,10/22/10,11/29/10,12/1/10,GH,GRAND HERITAGE,Condado Plaza San Juan,999 Ashford Avenue,San Juan,,00902,PR,2,139.00,A0PA1E,Y
37CXB8,10/19/10,10/20/10,10/21/10,SI,SHERATON HOTELS,Sheraton Ft Worth Hotel Spa,1701 Commerce Street,Fort Worth               ,TX,76102,US,1,138.00,B2QGOV,N
37GNW9,10/19/10,10/20/10,10/21/10,OM,OMNI/SUPRANATIONAL,Omni Austin At Southpark,4140 Governors Row,Austin                   ,TX,78744,US,1,104.00,A1KXUV,N
382YZM,10/11/10,10/14/10,10/15/10,HI,HOLIDAY INNS,Holiday Inn Miami FL,200 S E 2Nd Avenue,Miami                    ,FL,33131,US,1,104.00,XVUN00,Y
38UGQS,10/13/10,10/18/10,10/22/10,HI,HOLIDAY INNS,Holiday Inn Sioux Falls City Ctr SD,100 W 8Th St,Sioux Falls              ,SD,57104,US,4,77.00,CSTNXV,Y
39522U,10/15/10,10/19/10,10/22/10,SI,SHERATON HOTELS,Sheraton Princess Kaiulani HI,120 Kaiulani Ave,Honolulu                 ,HI,96815,US,3,177.00,L1KGOV,N
3974QP,10/22/10,11/2/10,11/3/10,HY,HYATT HOTELS,Hyatt Regency Columbus OH,350 N High Street,Columbus                 ,OH,43215,US,1,94.00,KNGFPL,Y
3996LY,10/14/10,10/18/10,10/19/10,HH,HILTON/CONRAD HOTELS,Hilton Atlanta Airport And Twr,1031 Virginia Avenue,Atlanta                  ,GA,30354,US,1,132.00,A02K1Z,N
3AC4RY,10/4/10,10/7/10,10/8/10,HH,HILTON/CONRAD HOTELS,Hilton Crystal City Natl Arpt Arlington,2399 Jefferson Davis Highway,Arlington                ,VA,22202,US,1,211.00,A0CE0J,Y
3AGSDD,10/8/10,10/12/10,10/13/10,WI,WESTIN HOTELS,Westin Book Cadillac Detroit MI,1114 Washington Blvd,Detroit                  ,MI,48226,US,1,95.00,A1KGOV,N
3C3HUH,10/15/10,10/19/10,10/21/10,HY,HYATT HOTELS,Hyatt Arlington VA,1325 Wilson Blvd,Arlington                ,VA,22209-2390,US,2,211.00,DBLFPL,N
3C5Q56,10/7/10,10/11/10,10/12/10,HH,HILTON/CONRAD HOTELS,Hilton Orlando Altamonte Sprng,350 South North Lake Blvd,Altamonte Springs        ,FL,32701,US,1,93.00,A00E2O,Y
3C5Q56,10/7/10,10/11/10,10/12/10,HH,HILTON/CONRAD HOTELS,Hilton Orlando Altamonte Sprng,350 South North Lake Blvd,Altamonte Springs        ,FL,32701,US,1,93.00,A00E2O,Y
3D3EDW,10/7/10,10/13/10,10/14/10,BW,BEST WESTERN INTL,Best Western Landing Hotel Ketchikan AK,3434 Tongass Avenue,Ketchikan                ,AK,99901,US,1,99.00,C2QGOV,Y
3D3O59,10/4/10,10/5/10,10/7/10,SI,SHERATON HOTELS,Sheraton Albuquerque NM,2910 Yale Blvd Se,Albuquerque              ,NM,87106,US,2,81.00,N1DXVU,N
3D73RE,10/7/10,10/13/10,10/15/10,BW,BEST WESTERN INTL,Best Western Landing Hotel Ketchikan AK,3434 Tongass Avenue,Ketchikan                ,AK,99901,US,2,98.00,A1KXVU,Y
3D8XLF,10/12/10,10/15/10,10/16/10,HY,HYATT HOTELS,Hyatt Regency Phoenix,122 North 2Nd Street,Phoenix                  ,AZ,85004,US,1,106.00,KNGFPL,Y
3D9ZVE,10/8/10,10/12/10,10/15/10,HX,HAMPTON INNS,Hampton Inn Fayettevle NC,1700 Skibo Road,Fayetteville             ,NC,28303,US,3,91.00,A0AA0K,Y
3DA7HA,10/6/10,10/6/10,10/7/10,ES,EMBASSY SUITES,Embassy Suites Detroit Airport MI,8600 Wickham Road,Romulus                  ,MI,48174,US,1,95.00,A02A2J,N
3DB39J,10/4/10,10/4/10,10/6/10,HY,HYATT HOTELS,Hyatt Regency San Diego,One Market Place,San Diego                ,CA,92101,US,2,131.00,KNGGVD,N
3DB39J,10/4/10,10/4/10,10/6/10,HY,HYATT HOTELS,Hyatt Regency San Diego,One Market Place,San Diego                ,CA,92101,US,2,131.00,KNGGVD,N
3DE6M7,10/4/10,10/7/10,10/8/10,GI,HILTON GARDEN INN,Hilton Garden Inn North Canton OH,5251 Landmark Boulevard,Canton                   ,OH,44720,US,1,85.00,A01A7R,Y
3DER4W,10/14/10,10/19/10,10/20/10,HH,HILTON/CONRAD HOTELS,Hilton Atlanta Airport And Twr,1031 Virginia Avenue,Atlanta                  ,GA,30354,US,1,132.00,A02K1Z,Y
3DER4W,10/14/10,10/19/10,10/20/10,HH,HILTON/CONRAD HOTELS,Hilton Atlanta Airport And Twr,1031 Virginia Avenue,Atlanta                  ,GA,30354,US,1,132.00,A02K1Z,Y
3DER4W,10/14/10,10/19/10,10/20/10,HH,HILTON/CONRAD HOTELS,Hilton Atlanta Airport And Twr,1031 Virginia Avenue,Atlanta                  ,GA,30354,US,1,132.00,A02K1Z,Y
3DG8RH,10/4/10,10/4/10,10/7/10,HI,HOLIDAY INNS,Holiday Inn Fishermans Wharf San Francis,1300 Columbus Ave,San Francisco            ,CA,94133,US,3,217.00,CSTN52,N
3DGQHB,10/5/10,10/6/10,10/7/10,HY,HYATT HOTELS,Hyatt Key West Resort And Marriot,601 Front Street,Key West                 ,FL,33040,US,1,145.00,V3KGVD,N
3DMJC8,10/20/10,10/24/10,10/26/10,RD,RADISSON HOTELS,Radisson Htl Reagan Natl Airpt Arlington,2020 Jefferson Davis Highway,Arlington                ,VA,22202,US,2,211.00,IA0024,N
3DQ4XJ,10/22/10,11/11/10,11/13/10,YX,SYNXIS CORPORATION,Stratosphere Tower Hotel las Vegas NV,2000 S Las Vegas Blvd,Las Vegas                ,NV,89104,US,2,64.00,C1KCOR,N
3DQ532,11/8/10,11/11/10,11/13/10,YX,SYNXIS CORPORATION,Stratosphere Tower Hotel las Vegas NV,2000 S Las Vegas Blvd,Las Vegas                ,NV,89104,US,2,64.00,C1KCOR,N
3DVQ5F,10/5/10,10/6/10,10/7/10,HY,HYATT HOTELS,Hyatt Place Reno Tahoe Airport NV,1790 East Plumb Lane,Reno                     ,NV,89502,US,1,94.05,KNGPRE,N
3DVRLG,10/4/10,10/13/10,10/14/10,WC,WESTCOAST,Cape Fox Lodge Ketchikan AK,800 Venetia Way,Ketchikan                ,AK,99901,US,1,98.00,C1KGOV,N
3E3M5B,10/6/10,10/11/10,10/12/10,WI,WESTIN HOTELS,Westin Casuarina Las Vegas,160 East Flamingo,Las Vegas                ,NV,89109,US,1,93.00,A1KGOV,N
