GDS Record Locator,Reservation Date,Ticket Issue Date,Trip Departure Date,Ticket Number,Airline Name,Cabin Class,Domestic / International Indicator,Origin Airport Code,Destination Airport Code,Routing,Invoice Amount,Tax Amount,Total Amount,Mileage,Exchange Indicator,Exchange Original Ticket Number,Refund  Indicator,Original Invoice Number,Online Indicator,Fare Category
22B3F7,9/29/10,10/21/10,10/27/10,8617609437,AMERICAN,Coach,D,ORD,LAS,ORD/LAS/ORD,230.7,38.7,269.4,3025.091065,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
22BEB2,9/29/10,10/13/10,10/17/10,,SOUTHWEST AIR,Coach,D,BWI,ABQ,BWI/ABQ/BWI,537.9,,537.9,3335.993651,N,,N,,N,Economy Unrestricted Fare (Non-Contract)
22BHSL,9/29/10,9/30/10,10/4/10,8615970595,ALASKA,Coach,D,SEA,ANC,SEA/ANC/SEA,791.36,42.75,834.11,2894.838256,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
22D2GN,9/29/10,10/14/10,10/19/10,8617015953,DELTA AIR LINES,Coach,D,LGA,BOS,LGA/BOS/LGA,117.2,30.2,147.4,369.2367298,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
22DQ43,9/29/10,10/13/10,10/18/10,8616933507,AMERICAN,Coach,D,DFW,SAT,DFW/SAT_LRD/DFW,358.14,48.26,406.4,644.803345,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
22F56W,,10/19/10,10/12/10,8616492923,ALASKA,Coach,D,JNU,PSG,JNU/PSG/KTN/JNU,-501.4,-49.6,-551,-470.3110914,N,,Y,,Y,YCA City Pair Fare (Contract)
22F56W,9/29/10,10/7/10,10/12/10,8616492923,ALASKA,Coach,D,JNU,PSG,JNU/PSG/KTN/JNU,501.4,49.6,551,470.3110914,N,,N,,Y,YCA City Pair Fare (Contract)
22F5RY,9/29/10,9/30/10,10/4/10,8615847871,FRONTIER AIRLINES,Coach,D,LGA,DEN,LGA/DEN/LGA,334.88,46.52,381.4,3258.267437,N,,N,,N,YCA City Pair Fare (Contract)
22FHAR,9/29/10,10/7/10,10/12/10,,SOUTHWEST AIR,Coach,D,DAL,HOU,DAL/HOU/DAL,291.9,,291.9,480.4806028,N,,N,,Y,Economy Unrestricted Fare (Non-Contract)
22FPZR,9/29/10,10/22/10,11/28/10,8617620629,FRONTIER AIRLINES,Coach,D,DEN,DCA,DEN/DCA/DEN,351.63,47.77,399.4,2970.414318,N,,N,,Y,YCA City Pair Fare (Contract)
22FPZR,9/29/10,12/2/10,12/3/10,8620481729,FRONTIER AIRLINES,Coach,D,DCA,DEN,DCA/DEN,,,,1485.207013,Y,8617620629,N,8617620629,N,_CA Deep Discount City Pair Fare (Contract)
22FWD3,9/29/10,10/7/10,10/12/10,8616492669,ALASKA,Coach,D,ANC,SEA,ANC/SEA/ANC,817.14,42.96,860.1,2894.838256,N,,N,,Y,YCA City Pair Fare (Contract)
22FWD3,9/29/10,10/7/10,10/12/10,8616492860,ALASKA,Coach,D,ANC,SEA,ANC/SEA/ANC,,,,2894.838256,Y,8616492669,N,8616492669,N,YCA City Pair Fare (Contract)
22G2UI,,10/25/10,10/25/10,8617467375,UNITED AIRLINES,Coach,D,SFO,LAS,SFO/LAS/SFO,-141.4,-32,-173.4,-826.9360795,N,,Y,,Y,_CA Deep Discount City Pair Fare (Contract)
22G2UI,,10/25/10,10/25/10,8617467530,UNITED AIRLINES,Coach,D,SFO,LAS,SFO/LAS/SFO,-141.4,-32,-173.4,-826.9360795,N,,Y,,Y,_CA Deep Discount City Pair Fare (Contract)
22G2UI,,11/12/10,10/25/10,8617702724,UNITED AIRLINES,Coach,D,SFO,LAS,SFO/LAS/SFO,-86.7,0,-86.7,-826.9360795,N,,P,,Y,_CA Deep Discount City Pair Fare (Contract)
22G2UI,9/29/10,10/26/10,10/26/10,8617840806,UNITED AIRLINES,Coach,D,LAS,SFO,LAS/SFO,70.7,16,86.7,413.4678313,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
22G2UI,9/29/10,10/20/10,10/25/10,8617467375,UNITED AIRLINES,Coach,D,SFO,LAS,SFO/LAS/SFO,141.4,32,173.4,826.9360795,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
22G2UI,9/29/10,10/20/10,10/25/10,8617467530,UNITED AIRLINES,Coach,D,SFO,LAS,SFO/LAS/SFO,141.4,32,173.4,826.9360795,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
22G2UI,9/29/10,10/25/10,10/25/10,8617702724,UNITED AIRLINES,Coach,D,SFO,LAS,SFO/LAS/SFO,141.4,32,173.4,826.9360795,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
22G8WD,9/29/10,10/13/10,10/18/10,,SOUTHWEST AIR,Coach,D,BWI,ABQ,BWI/ABQ,269.7,,269.7,1667.996691,N,,N,,N,Economy Unrestricted Fare (Non-Contract)
22GC86,9/29/10,10/1/10,10/6/10,8615970802,US AIRWAYS,Coach,D,BOS,DCA,BOS/DCA/BOS,352.56,47.84,400.4,796.7495528,N,,N,,Y,YCA City Pair Fare (Contract)
22GDRS,9/29/10,10/7/10,10/12/10,,SOUTHWEST AIR,Coach,D,DEN,SLC,DEN/SLC/DEN,199.4,,199.4,761.3834087,N,,N,,Y,Economy Unrestricted Fare (Non-Contract)
22GNCH,9/29/10,10/13/10,10/18/10,8616933370,ALASKA,Coach,D,SEA,ANC,SEA/ANC/SEA,817.14,42.96,860.1,2894.838256,N,,N,,Y,YCA City Pair Fare (Contract)
22HXXJ,9/29/10,10/21/10,10/26/10,8617546551,AMERICAN,Coach,D,ORD,BWI,ORD/BWI/ORD,202.8,36.6,239.4,1241.512279,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
22HYVC,9/29/10,10/1/10,10/5/10,,AIRTRAN AIRLINES,Coach,D,DCA,ATL,DCA/ATL,143.7,,143.7,547.8830405,N,,N,,Y,Economy Restricted Fare (Non-Contract)
22IVAL,9/29/10,10/13/10,10/18/10,8616970949,AMERICAN,Coach,D,DFW,SAT,DFW/SAT_LRD/DFW,358.14,48.26,406.4,644.803345,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
22JGD4,9/29/10,10/21/10,11/1/10,8617620544,FRONTIER AIRLINES,Coach,D,DEN,DCA,DEN/DCA/DEN,305.12,44.28,349.4,2970.414318,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
22LC2C,9/29/10,10/13/10,10/18/10,8616933374,AMERICAN,Coach,D,MCI,DAY,MCI/ORD/DAY/ORD/MCI,364.66,70.14,434.8,1286.752784,N,,N,,Y,YCA City Pair Fare (Contract)
22LWLH,9/29/10,10/13/10,10/17/10,8616933499,AMERICAN,Coach,D,MCI,SAN,MCI/DFW/SAN/DFW/MCI,325.58,67.22,392.8,3261.764524,N,,N,,Y,YCA City Pair Fare (Contract)
22M593,9/29/10,10/12/10,10/15/10,,SOUTHWEST AIR,Coach,D,DCA,ABQ,DCA/DFW/ABQ/BWI,268.2,,268.2,3427.844555,N,,N,,N,Economy Unrestricted Fare (Non-Contract)
22M593,9/29/10,10/12/10,10/15/10,8616820079,AMERICAN,Coach,D,DCA,ABQ,DCA/DFW/ABQ,346.05,47.35,393.4,1759.847595,N,,N,,N,YCA City Pair Fare (Contract)
22M5CS,9/29/10,10/13/10,10/17/10,8616933375,AMERICAN,Coach,D,MCI,SAN,MCI/DFW/SAN/DFW/MCI,325.58,67.22,392.8,3261.764524,N,,N,,Y,YCA City Pair Fare (Contract)
22M7RF,9/29/10,10/7/10,10/12/10,8616445876,AMERICAN,Coach,D,DFW,HOU,DFW/HOU/DFW,282.8,41.1,323.9,494.8782011,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
22N8EM,9/29/10,9/30/10,10/2/10,8615912944,UNITED AIRLINES,Coach,D,SFO,PHL,SFO/PHL,137.67,21.03,158.7,2517.21261,N,,N,,N,_CA Deep Discount City Pair Fare (Contract)
22NACY,,11/3/10,10/12/10,8616492727,AMERICAN,Coach,D,ORD,MSP,ORD/MSP/ORD,-118.7,0,-118.7,-668.8111741,N,,P,,Y,YCA City Pair Fare (Contract)
22NACY,9/29/10,10/7/10,10/12/10,8616492727,AMERICAN,Coach,D,ORD,MSP,ORD/MSP/ORD,184.19,35.21,219.4,668.8111741,N,,N,,Y,YCA City Pair Fare (Contract)
22O9RA,9/29/10,9/29/10,10/4/10,8615847698,DELTA AIR LINES,Coach,D,ATL,IAD,ATL/IAD/ATL,158.14,33.26,191.4,1067.825683,N,,N,,N,_CA Deep Discount City Pair Fare (Contract)
22OJE5,9/29/10,10/20/10,10/24/10,8617457569,AMERICAN,Coach,D,SEA,CMH,SEA/ORD/CMH/ORD/SEA,407.44,73.36,480.8,4028.141888,N,,N,,Y,YCA City Pair Fare (Contract)
22OM8Z,9/29/10,10/1/10,10/5/10,8616024653,DELTA AIR LINES,Coach,D,ATL,RDU,ATL/RDU/ATL,295.82,43.58,339.4,712.0043652,N,,N,,N,Economy Discounted Government (Non-Contract)
22OQPU,9/29/10,9/29/10,10/4/10,8615847780,FRONTIER AIRLINES,Coach,D,MCI,DCA,MCI/DCA/MCI,318.14,48.96,367.1,1897.501878,N,,N,,Y,YCA City Pair Fare (Contract)
22OWLX,9/29/10,10/13/10,10/17/10,8616933378,AMERICAN,Coach,D,MCI,SAN,MCI/DFW/SAN/DFW/MCI,325.58,67.22,392.8,3261.764524,N,,N,,Y,YCA City Pair Fare (Contract)
22PG4Z,9/29/10,10/1/10,10/6/10,8616024650,UNITED AIRLINES,Coach,D,CLE,DEN,CLE/DEN/CLE,362.8,48.6,411.4,2422.988338,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
22PLZD,,10/30/10,10/24/10,8617457544,AMERICAN,Coach,D,DFW,DEN,DFW/DEN/DFW,-130.7,0,-130.7,-1290.68534,N,,Y,,Y,YCA City Pair Fare (Contract)
22PLZD,9/29/10,10/28/10,10/29/10,8618113371,AMERICAN,Coach,D,DEN,DFW,DEN/DFW,93.02,17.68,110.7,645.3428379,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
22PLZD,9/29/10,10/20/10,10/24/10,8617457544,AMERICAN,Coach,D,DFW,DEN,DFW/DEN/DFW,223.26,38.14,261.4,1290.68534,N,,N,,Y,YCA City Pair Fare (Contract)
22QSPI,9/29/10,10/13/10,10/17/10,8616933481,AMERICAN,Coach,D,BWI,ORD,BWI/ORD/BWI,243.72,39.68,283.4,1241.512279,N,,N,,N,YCA City Pair Fare (Contract)
22QX2N,9/29/10,10/7/10,10/12/10,8616492716,AMERICAN,Coach,D,ORD,DTW,ORD/DTW/ORD,149.77,32.63,182.4,469.0381448,N,,N,,Y,YCA City Pair Fare (Contract)
22S5SS,9/29/10,10/7/10,10/12/10,8616492730,AMERICAN,Coach,D,DFW,SAT,DFW/SAT/DFW,280.94,42.46,323.4,494.6094574,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
22S6AH,,11/1/10,10/12/10,8616492721,ALASKA,Coach,D,SEA,PSG,SEA/JNU/PSG/SEA,-832.44,-61.16,-893.6,-1818.804345,N,,Y,,Y,YCA City Pair Fare (Contract)
22S6AH,9/29/10,10/7/10,10/12/10,8616492721,ALASKA,Coach,D,SEA,PSG,SEA/JNU/PSG/SEA,832.44,61.16,893.6,1818.804345,N,,N,,Y,YCA City Pair Fare (Contract)
22S9OC,,12/22/11,10/4/10,,AMERICAN,Coach,D,ORD,CMH,ORD/CMH_DTW/ORD,-98.48,0,-98.48,-530.7648641,N,,Y,,N,YCA City Pair Fare (Contract)
22S9OC,9/29/10,10/1/10,10/4/10,8616079591,AMERICAN,Coach,D,ORD,CMH,ORD/CMH_DTW/ORD,166.51,33.89,200.4,530.7648641,N,,N,,N,YCA City Pair Fare (Contract)
22SGXY,9/29/10,10/6/10,10/11/10,8616337809,FRONTIER AIRLINES,Coach,D,DEN,DCA,DEN/DCA/DEN,351.63,47.77,399.4,2970.414318,N,,N,,Y,YCA City Pair Fare (Contract)
22SORI,9/29/10,10/11/10,10/13/10,8616633509,UNITED AIRLINES,Coach,D,SFO,IAD,SFO/IAD/SFO,305.12,44.28,349.4,4830.898039,N,,N,,N,YCA City Pair Fare (Contract)
22SYG3,,10/13/10,10/12/10,8616492667,ALASKA,Coach,D,SEA,PSG,SEA/JNU/PSG/SEA,-832.44,-61.16,-893.6,-1818.804345,N,,Y,,Y,YCA City Pair Fare (Contract)
22SYG3,9/29/10,10/7/10,10/12/10,8616492667,ALASKA,Coach,D,SEA,PSG,SEA/JNU/PSG/SEA,832.44,61.16,893.6,1818.804345,N,,N,,Y,YCA City Pair Fare (Contract)
22U9SA,9/29/10,10/20/10,10/26/10,8617494566,AMERICAN,Coach,D,DFW,BWI,DFW/BWI/DFW,355.34,48.06,403.4,2430.974789,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
22UAY3,9/29/10,10/14/10,10/19/10,8616971098,AMERICAN,Coach,D,DFW,AUS,DFW/AUS/DFW,277.2,42.2,319.4,368.2230087,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
22UR9L,9/29/10,9/30/10,10/3/10,,SOUTHWEST,Coach,D,SLC,DEN,SLC/DEN/SLC,199.4,,199.4,761.3834087,N,,N,,Y,Economy Unrestricted Fare (Non-Contract)
22UULQ,9/29/10,10/18/10,10/18/10,,SOUTHWEST AIR,Coach,D,SAN,ABQ,SAN/ABQ/SAN,457.9,,457.9,1255.77348,N,,N,,Y,Economy Unrestricted Fare (Non-Contract)
22V74D,9/29/10,9/30/10,10/4/10,,SOUTHWEST,Coach,D,SEA,DEN,SEA/DEN/SEA,319.4,,319.4,2036.990311,N,,N,,Y,Economy Unrestricted Fare (Non-Contract)
22V74D,9/29/10,10/7/10,10/9/10,,SOUTHWEST AIR,Coach,D,DEN,SEA,DEN/SEA,,,,1018.494967,N,,N,,N,Economy Unrestricted Fare (Non-Contract)
22VCIA,9/29/10,9/29/10,10/3/10,,AIRTRAN AIRWAYS,Coach,D,ATL,DCA,ATL/DCA/ATL,287.4,,287.4,1095.766184,N,,N,,Y,Economy Restricted Fare (Non-Contract)
22VNAL,9/29/10,9/30/10,10/5/10,8615912713,AMERICAN,Coach,D,DFW,IND,DFW/IND/DFW,535.82,61.58,597.4,1524.256441,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
22WGFP,9/29/10,10/13/10,10/18/10,8616919906,UNITED AIRLINES,Coach,D,SFO,IAD,SFO/IAD/SFO,305.12,44.28,349.4,4830.898039,N,,N,,Y,YCA City Pair Fare (Contract)
22WR7H,9/29/10,10/20/10,10/25/10,8617457676,UNITED AIRLINES,Coach,D,SFO,LAS,SFO/LAS/SFO,141.4,32,173.4,826.9360795,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
22WSMX,,11/1/10,10/18/10,,AIRTRAN AIRLINES,Coach,D,ATL,DCA,ATL/DCA/ATL,-5,0,-5,-1095.766184,N,,Y,,Y,Economy Restricted Fare (Non-Contract)
22WSMX,9/29/10,10/13/10,10/18/10,,AIRTRAN AIRLINES,Coach,D,ATL,DCA,ATL/DCA/ATL,287.4,,287.4,1095.766184,N,,N,,Y,Economy Restricted Fare (Non-Contract)
22WX43,9/29/10,10/20/10,10/25/10,8617457604,UNITED AIRLINES,Coach,D,SFO,LAS,SFO/LAS/SFO,141.4,32,173.4,826.9360795,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
22XSVW,9/29/10,10/7/10,10/12/10,8616445760,UNITED AIRLINES,Coach,D,SFO,IAD,SFO/IAD/SFO,305.12,44.28,349.4,4830.898039,N,,N,,Y,YCA City Pair Fare (Contract)
22XYWD,9/29/10,9/30/10,10/6/10,8615912926,UNITED AIRLINES,Coach,D,SAN,BOI,SAN/SFO/BOI/SEA/GEG,250.24,52.56,302.8,1591.548446,N,,N,,N,Economy Discounted Government (Non-Contract)
22Y9XH,9/29/10,10/23/10,10/23/10,8617702580,AMERICAN,Coach,D,DFW,LAS,DFW/LAS/DFW,-135.82,-10.18,-146,-2109.49372,N,8617467315,Y,8617467315,N,YCA City Pair Fare (Contract)
22Y9XH,9/29/10,10/20/10,10/23/10,8617467315,AMERICAN,Coach,D,DFW,LAS,DFW/LAS/DFW,543.26,62.14,605.4,2109.49372,N,,N,,Y,YCA City Pair Fare (Contract)
22Y9XH,9/29/10,10/23/10,10/23/10,8617702579,AMERICAN,Coach,D,DFW,LAS,DFW/LAS/DFW,,,,2109.49372,Y,8617467315,N,8617467315,N,YCA City Pair Fare (Contract)
2336N2,9/30/10,10/5/10,11/14/10,8616337732,UNITED AIRLINES,Coach,D,SFO,IAD,SFO/IAD/SFO,370.24,49.16,419.4,4830.898039,N,,N,,Y,YCA City Pair Fare (Contract)
236J2J,9/30/10,9/30/10,10/3/10,,SOUTHWEST,Coach,D,FLL,JAX,FLL/JAX/FLL,299.4,,299.4,638.7240799,N,,N,,Y,Economy Unrestricted Fare (Non-Contract)
236SV5,9/30/10,9/30/10,10/4/10,,SOUTHWEST,Coach,D,DAL,ELP,DAL/ELP/DAL,441.4,,441.4,1124.526002,N,,N,,Y,Economy Unrestricted Fare (Non-Contract)
237NER,9/30/10,10/7/10,10/12/10,8616492903,AMERICAN,Coach,D,DFW,DCA,DFW/DCA/DFW,440.94,54.46,495.4,2382.178084,N,,N,,Y,Economy Discounted Government (Non-Contract)
239SO7,9/30/10,9/30/10,10/4/10,8615912808,DELTA AIR LINES,Coach,D,ATL,SEA,ATL/SEA/ATL,688.38,73.02,761.4,4360.109511,N,,N,,Y,YCA City Pair Fare (Contract)
239SO7,9/30/10,10/6/10,10/8/10,8616337816,DELTA AIR LINES,Coach,D,SEA,ATL,SEA/ATL,,,,2180.054928,Y,8615912808,N,8615912808,N,YCA City Pair Fare (Contract)
23AAPH,,10/27/10,8/11/10,8611607788,UNITED AIRLINES,Coach,D,DCA,LAX,DCA/ORD/LAX/ORD/DCA,-122.3,-66.1,-188.4,-4707.643151,N,,P,,Y,YCA City Pair Fare (Contract)
23O45P,,10/7/10,10/7/10,,SOUTHWEST AIR,Coach,D,BWI,BOS,BWI/BOS/BWI,-79.7,0,-79.7,-739.2739037,N,,Y,,N,Economy Unrestricted Fare (Non-Contract)
23O45P,9/30/10,10/6/10,10/7/10,,SOUTHWEST AIR,Coach,D,BWI,BOS,BWI/BOS/BWI,159.4,,159.4,739.2739037,N,,N,,N,Economy Unrestricted Fare (Non-Contract)
23R6HW,9/30/10,10/4/10,10/7/10,,SOUTHWEST AIR,Coach,D,MDW,BOS,MDW/BOS/MDW,591.4,,591.4,1720.150415,N,,N,,N,Economy Unrestricted Fare (Non-Contract)
23RMV6,9/30/10,10/1/10,10/6/10,8615970691,US AIRWAYS,Coach,D,PHL,ROA,PHL/CLT/ROA/PHL,1460.34,140.13,1600.47,912.878117,N,,N,,Y,YCA City Pair Fare (Contract)
23U44F,9/30/10,10/1/10,10/4/10,,SOUTHWEST AIR,Coach,D,PHL,PIT,PHL/PIT/PHL,259.4,,259.4,536.1532997,N,,N,,Y,Economy Unrestricted Fare (Non-Contract)
23U5HU,9/30/10,10/11/10,10/14/10,8616633498,ALASKA,Coach,D,SEA,KTN,SEA/KTN/SEA,785.44,50.17,835.61,1356.517716,N,,N,,Y,YCA City Pair Fare (Contract)
23V5F3,9/30/10,10/21/10,11/8/10,8617586886,UNITED AIRLINES,Coach,D,ORD,DCA,ORD/DCA/ORD,243.72,39.68,283.4,1221.809058,N,,N,,Y,YCA City Pair Fare (Contract)
23V6U8,9/30/10,10/4/10,10/6/10,8616079786,US AIRWAYS,Coach,D,PHL,CMH,PHL/CMH/PHL,939.53,91.87,1031.4,809.1828704,N,,N,,Y,Economy Discounted Government (Non-Contract)
23WDGM,9/30/10,10/15/10,10/18/10,8617095924,FRONTIER AIRLINES,Coach,D,MCI,DCA,MCI/DCA/MCI,176.74,34.66,211.4,1897.501878,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
23XV54,9/30/10,10/4/10,10/6/10,,SOUTHWEST AIR,Coach,D,DAL,ABQ,DAL/ABQ/DAL,455.9,,455.9,1159.039548,N,,N,,Y,Economy Unrestricted Fare (Non-Contract)
23YNLB,9/30/10,10/7/10,10/13/10,8616492820,ALASKA,Coach,D,SEA,DCA,SEA/DCA/SEA,444.66,54.74,499.4,4649.514123,N,,N,,N,YCA City Pair Fare (Contract)
23YNLB,9/30/10,10/12/10,10/13/10,8616820056,ALASKA,Coach,D,SEA,DCA,SEA/DCA/SEA,,,,4649.514123,Y,8616492820,N,8616492820,N,YCA City Pair Fare (Contract)
23YO8N,9/30/10,11/3/10,11/8/10,8618471262,AMERICAN,Coach,D,SEA,SAT,SEA/DFW/SAT/DFW/SEA,284.66,64.14,348.8,3814.841038,N,,N,,N,_CA Deep Discount City Pair Fare (Contract)
23YO8N,9/30/10,11/9/10,11/11/10,8618967074,AMERICAN,Coach,D,SAT,SEA,SAT/DFW/SEA,,,,1907.420337,Y,8618471262,N,8618471262,N,_CA Deep Discount City Pair Fare (Contract)
23YR7Q,9/30/10,9/30/10,10/5/10,8615912809,AMERICAN,Coach,D,ORD,DTW,ORD/DTW/ORD,163.72,33.68,197.4,469.0381448,N,,N,,Y,YCA City Pair Fare (Contract)
248QE2,9/30/10,10/20/10,10/24/10,,AIRTRAN AIRLINES,Coach,D,BWI,MCO,BWI/MCO/BWI,313.4,,313.4,1578.884421,N,,N,,Y,Economy Restricted Fare (Non-Contract)
248QE2,9/30/10,10/24/10,10/24/10,,AIRTRAN AIRLINES,Coach,D,BWI,MCO,BWI/MCO/BWI,,,,1578.884421,N,,N,,N,Economy Restricted Fare (Non-Contract)
249GZ9,9/30/10,10/1/10,10/4/10,,AIRTRAN AIRLINES,Coach,D,FLL,ATL,FLL/ATL/FLL,463.4,,463.4,1164.534197,N,,N,,Y,Economy Restricted Fare (Non-Contract)
249WJC,9/30/10,10/6/10,10/12/10,,SOUTHWEST AIR,Coach,D,SMF,IAD,SMF/DEN/IAD/DEN/SMF,898.8,,898.8,4718.986361,N,,N,,Y,Economy Unrestricted Fare (Non-Contract)
24AB87,9/30/10,10/13/10,10/17/10,8616920067,AMERICAN,Coach,D,DFW,ABQ,DFW/ABQ/DFW,388.84,49.06,437.9,1137.517699,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
24ASSI,9/30/10,10/7/10,10/12/10,,AIRTRAN AIRLINES,Coach,D,ATL,BWI,ATL/BWI/ATL,277.4,,277.4,1153.272305,N,,N,,Y,Economy Restricted Fare (Non-Contract)
