GDS Record Locator,Reservation Date,Car Pick Up Date,Car Drop Off Date,Car Chain Code,Car Chain Name,Car Pick Up City,Car Pick Up State,Car Drop Off City,Car Drop Off State,Car Rental Days,Car Daily Rate,Car Category,Online Indicator
23YO8N,11/9/10,11/8/10,11/19/10,ZL,NATIONAL CAR RENTAL,San Antonio,TX,San Antonio,TX,11,20.14,Compact,N
24C873,10/13/10,10/17/10,10/22/10,ZL,NATIONAL CAR RENTAL,Lexington,KY,Lexington,KY,5,67.37,Minivan,Y
24CXCJ,10/7/10,10/12/10,10/15/10,ZT,THRIFTY RENT A CAR,Denver,CO,Denver,CO,3,41.00,Compact,Y
24DML8,10/4/10,10/6/10,10/7/10,ET,ENTERPRISE CARS,Pittsburgh,PA,Pittsburgh,PA,1,25.00,Compact,Y
24I7XZ,10/4/10,10/5/10,10/5/10,AL,ALAMO RENT A CAR,Detroit-Metro,MI,Detroit-Metro,MI,1,34.00,Compact,N
24L84F,10/6/10,10/11/10,10/12/10,AD,ADVANTAGE,Denver,CO,Denver,CO,1,27.77,Compact,Y
24MUDR,9/30/10,10/1/10,10/1/10,AL,ALAMO RENT A CAR,Tulsa,OK,Tulsa,OK,1,27.00,Compact,N
24RVGX,10/21/10,10/25/10,10/26/10,ZL,NATIONAL CAR RENTAL,Honolulu - Oahu,HI,Honolulu - Oahu,HI,1,23.00,Compact,N
24RVGX,10/21/10,10/27/10,10/29/10,ZL,NATIONAL CAR RENTAL,Saipan,,Saipan,,2,38.25,Compact,N
24RVGX,10/21/10,10/29/10,10/31/10,ET,ENTERPRISE CARS,Honolulu - Oahu,HI,Honolulu - Oahu,HI,2,16.00,Compact,N
24VL9D,10/5/10,10/8/10,10/9/10,ET,ENTERPRISE CARS,Los Angeles,CA,Los Angeles,CA,1,18.00,Compact,Y
2525JQ,10/7/10,10/12/10,10/12/10,ET,ENTERPRISE CARS,Kansas City-Intl,MO,Kansas City-Intl,MO,1,45.00,Standard,Y
253F63,10/5/10,10/6/10,10/7/10,ZR,DOLLAR RENT A CAR,Houston-Hobby,TX,Houston-Hobby,TX,1,24.00,Compact,Y
255XHX,10/4/10,10/7/10,10/11/10,ET,ENTERPRISE CARS,Seattle/TacomA,WA,Seattle/TacomA,WA,4,29.00,Intermediate,Y
257UG7,10/1/10,10/5/10,10/7/10,ZL,NATIONAL CAR RENTAL,Washington DC,DC,Washington DC,DC,2,39.00,Standard,Y
25MYXO,10/4/10,10/6/10,10/7/10,AL,ALAMO RENT A CAR,Columbus,OH,Columbus,OH,1,36.00,Intermediate,N
25OGD4,10/3/10,10/4/10,10/6/10,ZL,NATIONAL CAR RENTAL,Harlingen,TX,Harlingen,TX,2,39.00,Compact,N
25SVSI,10/2/10,10/4/10,10/5/10,AL,ALAMO RENT A CAR,Memphis,TN,Memphis,TN,1,42.00,Intermediate,N
25WLNQ,10/1/10,10/26/10,10/27/10,ZD,BUDGET RENT A CAR,Minneapolis/St Paul,MN,Minneapolis/St Paul,MN,1,57.00,Full Size,Y
264UCG,10/20/10,11/2/10,11/5/10,ZR,DOLLAR RENT A CAR,Washington D.C.-Dulles,DC,Washington D.C.-Dulles,DC,3,24.00,Compact,Y
26C3ZD,9/28/10,9/29/10,10/1/10,ZD,BUDGET RENT A CAR,San Diego,CA,San Diego,CA,2,19.00,Intermediate,N
26EBG4,10/1/10,10/4/10,10/6/10,AL,ALAMO RENT A CAR,Detroit-Metro,MI,Detroit-Metro,MI,2,33.00,Compact,N
26MZUM,10/4/10,10/7/10,10/8/10,ZR,DOLLAR RENT A CAR,Mc Allen,TX,Mc Allen,TX,1,38.00,Economy,Y
26O7FD,11/5/10,11/10/10,11/14/10,ZD,BUDGET RENT A CAR,Las Vegas,NV,Las Vegas,NV,4,43.50,Intermediate,N
26RZ9N,10/13/10,10/17/10,10/22/10,AD,ADVANTAGE,Albuquerque,NM,Albuquerque,NM,5,28.28,Intermediate,Y
26VDMY,10/21/10,11/2/10,11/5/10,ZR,DOLLAR RENT A CAR,Orlando-Intl,FL,Orlando-Intl,FL,3,25.00,Intermediate,Y
26WJFU,10/21/10,11/1/10,11/1/10,ZR,DOLLAR RENT A CAR,Mc Allen,TX,Mc Allen,TX,1,38.00,Economy,Y
26WJFU,11/2/10,11/1/10,11/1/10,ZR,DOLLAR RENT A CAR,Mc Allen,TX,Mc Allen,TX,1,38.00,Economy,Y
26WJFU,11/2/10,11/2/10,11/3/10,AL,ALAMO RENT A CAR,New Orleans,LA,New Orleans,LA,1,67.00,Compact,Y
26WRVE,9/29/10,10/4/10,10/8/10,ZT,THRIFTY RENT A CAR,Orlando-Intl,FL,Orlando-Intl,FL,4,19.00,Economy,Y
26Y5LA,10/11/10,10/15/10,10/22/10,ZR,DOLLAR RENT A CAR,Orlando-Intl,FL,Orlando-Intl,FL,7,17.57,Intermediate,Y
26YOSI,10/6/10,10/6/10,10/8/10,AD,ADVANTAGE,Denver,CO,Denver,CO,2,64.71,Intermediate,N
26ZEHQ,10/1/10,10/6/10,10/7/10,AC,ACE RENT A CAR,Minneapolis/St Paul,MN,Minneapolis/St Paul,MN,1,41.00,Compact,Y
27244P,9/30/10,10/5/10,10/5/10,ZL,NATIONAL CAR RENTAL,San Antonio,TX,San Antonio,TX,1,25.00,Standard,Y
279Z3X,9/30/10,10/5/10,10/6/10,ZR,DOLLAR RENT A CAR,Cincinnati,OH,Cincinnati,OH,1,34.00,Economy,Y
27JIY4,9/30/10,10/4/10,10/6/10,ZR,DOLLAR RENT A CAR,Miami,FL,Miami,FL,2,14.00,Compact,Y
27WAUA,9/29/10,9/30/10,10/1/10,ZL,NATIONAL CAR RENTAL,Jackson/Vicksburg,MS,Jackson/Vicksburg,MS,1,34.00,Compact,N
284FNL,10/11/10,10/12/10,10/14/10,ZI,AVIS RENT A CAR,International Falls,MN,International Falls,MN,2,108.00,Minivan,N
28SZPZ,10/1/10,10/6/10,10/7/10,ZI,AVIS RENT A CAR,Laredo,TX,Laredo,TX,1,40.00,Compact,Y
29H3WY,10/6/10,10/10/10,10/16/10,AL,ALAMO RENT A CAR,Atlanta,GA,Atlanta,GA,6,21.17,Compact,N
29H3WY,10/6/10,10/10/10,10/16/10,AL,ALAMO RENT A CAR,Atlanta,GA,Atlanta,GA,6,21.17,Compact,N
29O9WQ,10/15/10,10/19/10,10/21/10,ZT,THRIFTY RENT A CAR,Albuquerque,NM,Albuquerque,NM,2,45.00,Compact,N
29V2UZ,10/7/10,10/12/10,10/14/10,ET,ENTERPRISE CARS,Salt Lake City,UT,Salt Lake City,UT,2,25.00,Intermediate,Y
2AFHEL,10/15/10,10/20/10,10/22/10,ZE,HERTZ RENT A CAR,Jacksonvile,NC,Jacksonvile,NC,2,35.00,Intermediate,N
2DXBF2,10/13/10,10/18/10,10/22/10,ZT,THRIFTY RENT A CAR,Albuquerque,NM,Albuquerque,NM,4,37.00,Intermediate,Y
2DXLAE,9/29/10,10/4/10,10/7/10,ZR,DOLLAR RENT A CAR,Las Vegas,NV,Las Vegas,NV,3,21.00,Economy,Y
2DZ7DW,10/8/10,10/12/10,10/15/10,ET,ENTERPRISE CARS,Las Vegas,NV,Las Vegas,NV,3,20.00,Compact,N
2DZ7DW,10/8/10,10/12/10,10/15/10,ET,ENTERPRISE CARS,Las Vegas,NV,Las Vegas,NV,3,20.00,Compact,Y
2FWF6W,10/13/10,10/17/10,10/22/10,ZD,BUDGET RENT A CAR,Albuquerque,NM,Albuquerque,NM,5,27.00,Compact,N
2HRUNL,10/7/10,10/12/10,10/15/10,ZR,DOLLAR RENT A CAR,Las Vegas,NV,Las Vegas,NV,3,21.00,Compact,N
2HRWMC,10/20/10,10/24/10,10/29/10,ZR,DOLLAR RENT A CAR,Las Vegas,NV,Las Vegas,NV,5,33.40,Intermediate,N
2I4VNF,9/22/10,9/27/10,10/1/10,ZL,NATIONAL CAR RENTAL,Cincinnati,OH,Cincinnati,OH,4,63.00,Intermediate,Y
2JDGJ8,10/1/10,10/6/10,10/8/10,ET,ENTERPRISE CARS,Nashville,TN,Nashville,TN,2,30.00,Compact,Y
2JDQSZ,10/13/10,10/18/10,10/22/10,ZT,THRIFTY RENT A CAR,Los Angeles,CA,Los Angeles,CA,4,31.75,Compact,Y
2JNAOR,10/8/10,10/13/10,10/15/10,ZT,THRIFTY RENT A CAR,Minneapolis/St Paul,MN,Minneapolis/St Paul,MN,2,40.00,Compact,Y
2N5QXE,9/23/10,9/29/10,10/1/10,ZI,AVIS RENT A CAR,San Diego,CA,San Diego,CA,2,44.00,Intermediate,N
2O7IQW,9/30/10,10/5/10,10/6/10,AL,ALAMO RENT A CAR,Reno,NV,Reno,NV,1,33.00,Compact,N
2P4IQS,10/13/10,10/18/10,10/19/10,AL,ALAMO RENT A CAR,Richmond,VA,Richmond,VA,1,46.00,Economy,Y
2P7SG2,10/12/10,10/15/10,10/22/10,AL,ALAMO RENT A CAR,Albuquerque,NM,Albuquerque,NM,7,20.43,Intermediate,N
2PVGIO,10/1/10,10/6/10,10/8/10,ZR,DOLLAR RENT A CAR,Denver,CO,Denver,CO,2,41.00,Compact,N
2PVGIO,10/4/10,10/6/10,10/9/10,ZR,DOLLAR RENT A CAR,Denver,CO,Denver,CO,3,41.00,Compact,N
2PZMLP,10/1/10,10/6/10,10/8/10,ZL,NATIONAL CAR RENTAL,Jackson/Vicksburg,MS,Jackson/Vicksburg,MS,2,34.00,Compact,Y
2QGHID,9/30/10,10/5/10,10/6/10,ZD,BUDGET RENT A CAR,Baton Rouge,LA,Baton Rouge,LA,1,37.00,Full Size,Y
2QILBR,9/29/10,10/3/10,10/8/10,ZT,THRIFTY RENT A CAR,Kansas City-Intl,MO,Kansas City-Intl,MO,5,32.80,Compact,Y
2QLNJG,9/27/10,9/29/10,10/1/10,ZL,NATIONAL CAR RENTAL,San Diego,CA,San Diego,CA,2,17.00,Compact,N
2QLXBB,10/13/10,10/17/10,10/22/10,ZL,NATIONAL CAR RENTAL,Albuquerque,NM,Albuquerque,NM,5,80.00,Minivan,N
2QPXGR,10/14/10,10/18/10,10/21/10,AL,ALAMO RENT A CAR,Albuquerque,NM,Albuquerque,NM,3,40.00,Full Size,N
2QSP59,9/23/10,9/28/10,10/1/10,ZL,NATIONAL CAR RENTAL,San Diego,CA,San Diego,CA,3,17.00,Compact,Y
2RRQ7V,9/27/10,10/1/10,10/5/10,ZL,NATIONAL CAR RENTAL,San Diego,CA,San Diego,CA,4,16.00,Compact,Y
2RZJWH,10/14/10,10/19/10,10/21/10,ZD,BUDGET RENT A CAR,Denver,CO,Denver,CO,2,61.00,Compact,Y
2SC4BO,10/14/10,10/17/10,10/22/10,ZR,DOLLAR RENT A CAR,St. Louis,MO,St. Louis,MO,5,24.80,Compact,N
2SES5E,9/29/10,10/3/10,10/8/10,ET,ENTERPRISE CARS,Denver,CO,Denver,CO,5,27.60,Compact,Y
2SLU28,10/8/10,10/13/10,10/15/10,ZL,NATIONAL CAR RENTAL,San Francisco,CA,San Francisco,CA,2,45.00,Intermediate,N
2U5CFA,10/13/10,10/17/10,10/22/10,ZD,BUDGET RENT A CAR,Albuquerque,NM,Albuquerque,NM,5,72.00,Minivan,N
2UDN8J,10/7/10,10/17/10,10/22/10,ZR,DOLLAR RENT A CAR,Orlando-Intl,FL,Orlando-Intl,FL,5,22.00,Compact,Y
2VGNML,10/13/10,10/18/10,10/20/10,ZI,AVIS RENT A CAR,Grand Forks,ND,Grand Forks,ND,2,33.00,Economy,Y
2VQ7XY,10/4/10,10/7/10,10/8/10,ZI,AVIS RENT A CAR,Brownsville,TX,Brownsville,TX,1,42.00,Intermediate,Y
2VSV9P,10/13/10,10/17/10,10/22/10,ZE,HERTZ RENT A CAR,Washington D.C.-Dulles,DC,Washington D.C.-Dulles,DC,5,30.00,Compact,Y
2Y33LD,10/14/10,10/19/10,10/22/10,ZI,AVIS RENT A CAR,Jackson/Vicksburg,MS,Jackson/Vicksburg,MS,3,38.00,Compact,N
2Y7DEP,10/21/10,12/13/10,12/15/10,ZL,NATIONAL CAR RENTAL,Honolulu - Oahu,HI,Honolulu - Oahu,HI,2,22.00,Economy,Y
2YEB6M,10/13/10,10/18/10,10/21/10,AL,ALAMO RENT A CAR,Albuquerque,NM,Albuquerque,NM,3,38.00,Intermediate,Y
2YEB6M,10/13/10,10/21/10,10/22/10,ZD,BUDGET RENT A CAR,Ft Walton Bch/Elgin AFB,FL,Ft Walton Bch/Elgin AFB,FL,1,32.00,Intermediate,Y
2YEB6M,10/18/10,10/18/10,10/21/10,AL,ALAMO RENT A CAR,Albuquerque,NM,Albuquerque,NM,3,38.00,Intermediate,N
2YEB6M,10/18/10,10/21/10,10/22/10,ZD,BUDGET RENT A CAR,Ft Walton Bch/Elgin AFB,FL,Ft Walton Bch/Elgin AFB,FL,1,32.00,Intermediate,N
2YGQAP,9/29/10,10/3/10,10/5/10,AD,ADVANTAGE,Albuquerque,NM,Albuquerque,NM,2,56.27,Compact,Y
2YHFVC,10/13/10,10/17/10,10/22/10,ZL,NATIONAL CAR RENTAL,Albuquerque,NM,Albuquerque,NM,5,27.80,Economy,Y
2YOJSS,9/29/10,10/3/10,10/8/10,ET,ENTERPRISE CARS,Denver,CO,Denver,CO,5,27.40,Compact,Y
2YREQY,9/30/10,10/4/10,10/5/10,AL,ALAMO RENT A CAR,Detroit-Metro,MI,Detroit-Metro,MI,1,39.00,Intermediate,N
2YUGU9,10/14/10,10/19/10,10/22/10,ZL,NATIONAL CAR RENTAL,Laredo,TX,Laredo,TX,3,75.00,Minivan,Y
2YVFQ3,9/30/10,10/5/10,10/6/10,ZR,DOLLAR RENT A CAR,Phoenix,AZ,Phoenix,AZ,1,36.00,Economy,Y
2Z5RC7,10/21/10,10/26/10,10/28/10,ZT,THRIFTY RENT A CAR,Las Vegas,NV,Las Vegas,NV,2,25.00,Intermediate,Y
2ZB4IF,10/1/10,10/7/10,10/8/10,ZI,AVIS RENT A CAR,Harlingen,TX,Harlingen,TX,1,42.00,Intermediate,N
2ZEREM,9/28/10,10/7/10,10/8/10,AL,ALAMO RENT A CAR,Seattle/TacomA,WA,Seattle/TacomA,WA,1,29.00,Compact,N
2ZPZ67,10/21/10,10/28/10,10/28/10,ZD,BUDGET RENT A CAR,Green Bay,WI,Green Bay,WI,1,36.00,Intermediate,Y
327LPC,10/22/10,10/28/10,10/28/10,ET,ENTERPRISE CARS,St. Louis,MO,St. Louis,MO,1,31.00,Economy,Y
32DJRU,10/21/10,10/31/10,11/5/10,ZD,BUDGET RENT A CAR,Harrisburg-Intl,PA,Harrisburg-Intl,PA,5,20.20,Compact,Y
32H3RN,10/21/10,10/26/10,10/28/10,ET,ENTERPRISE CARS,Houston-Intercontinental,TX,Houston-Intercontinental,TX,2,23.00,Full Size,Y
32LPNV,10/21/10,10/26/10,10/28/10,ET,ENTERPRISE CARS,Raleigh/Durham,NC,Raleigh/Durham,NC,2,18.00,Economy,Y
32NIQZ,11/1/10,11/1/10,11/2/10,ZT,THRIFTY RENT A CAR,Denver,CO,Denver,CO,1,41.00,Compact,Y
32NXHC,10/21/10,10/25/10,10/29/10,AD,ADVANTAGE,Dallas/Ft Worth,TX,Dallas/Ft Worth,TX,4,30.63,Economy,Y
32PQEL,10/21/10,10/27/10,10/28/10,ZI,AVIS RENT A CAR,Pierre,SD,Pierre,SD,1,43.00,Compact,Y
32RJ2Q,10/22/10,11/1/10,11/2/10,ZR,DOLLAR RENT A CAR,St. Louis,MO,St. Louis,MO,1,27.00,Compact,Y
32VHP5,10/22/10,11/8/10,11/13/10,AL,ALAMO RENT A CAR,Burbank,CA,Burbank,CA,5,34.60,Compact,Y
32VYFW,10/21/10,10/26/10,10/27/10,ZD,BUDGET RENT A CAR,San Antonio,TX,San Antonio,TX,1,20.00,Compact,Y
32WNLG,10/21/10,11/16/10,11/19/10,AL,ALAMO RENT A CAR,Kansas City-Intl,MO,Kansas City-Intl,MO,3,50.00,Intermediate,Y
32X454,10/22/10,10/27/10,10/29/10,ZD,BUDGET RENT A CAR,Huntsville/Decatur,AL,Huntsville/Decatur,AL,2,40.00,Intermediate,N
3332UB,10/21/10,10/26/10,10/27/10,ZR,DOLLAR RENT A CAR,Baltimore/Washington Intl,MD,Baltimore/Washington Intl,MD,1,28.00,Compact,N
333O2B,10/22/10,10/25/10,11/19/10,ZD,BUDGET RENT A CAR,San Francisco,CA,San Francisco,CA,25,19.57,Intermediate,N
334GWO,10/22/10,11/2/10,11/2/10,ET,ENTERPRISE CARS,Tulsa,OK,Tulsa,OK,1,26.00,Compact,Y
33DEJO,10/21/10,10/26/10,10/29/10,ZD,BUDGET RENT A CAR,Boise,ID,Boise,ID,3,32.00,Compact,N
344FLN,10/22/10,10/25/10,10/28/10,AL,ALAMO RENT A CAR,Orlando-Intl,FL,Orlando-Intl,FL,3,29.00,Compact,Y
349PV4,10/22/10,10/24/10,10/25/10,ET,ENTERPRISE CARS,Houston-Hobby,TX,Houston-Hobby,TX,1,17.00,Standard,Y
34P6RA,10/22/10,10/27/10,10/28/10,ET,ENTERPRISE CARS,Charlotte,NC,Charlotte,NC,1,29.00,Economy,Y
34VFSB,10/21/10,10/26/10,10/28/10,ZL,NATIONAL CAR RENTAL,Tampa/St Petersburg,FL,Tampa/St Petersburg,FL,2,26.00,Full Size,N
352MQU,10/22/10,11/4/10,11/5/10,ZR,DOLLAR RENT A CAR,Ft. Lauderdale,FL,Ft. Lauderdale,FL,1,18.00,Compact,Y
35OC9R,10/27/10,11/1/10,11/3/10,AD,ADVANTAGE,Chicago-OHare,IL,Chicago-OHare,IL,2,43.16,Compact,Y
35S2EI,10/22/10,11/15/10,11/19/10,ET,ENTERPRISE CARS,Grand Junction,CO,Grand Junction,CO,4,35.00,Intermediate,Y
36226C,10/20/10,10/25/10,10/28/10,ET,ENTERPRISE CARS,Dallas/Ft Worth,TX,Dallas/Ft Worth,TX,3,33.00,Standard,Y
364HVJ,10/22/10,10/27/10,10/29/10,ZI,AVIS RENT A CAR,San Juan,PR,San Juan,PR,2,25.00,Economy,Y
36BWJA,10/20/10,10/25/10,10/28/10,AD,ADVANTAGE,Seattle/TacomA,WA,Seattle/TacomA,WA,3,23.25,Compact,Y
36F6V5,10/21/10,12/13/10,12/14/10,ZR,DOLLAR RENT A CAR,Washington D.C.-Dulles,DC,Washington D.C.-Dulles,DC,1,24.00,Compact,Y
36F6V5,11/17/10,12/13/10,12/15/10,ZR,DOLLAR RENT A CAR,Washington D.C.-Dulles,DC,Washington D.C.-Dulles,DC,2,24.00,Compact,N
36FLJG,10/19/10,10/22/10,10/22/10,ZD,BUDGET RENT A CAR,Fresno,CA,Fresno,CA,1,21.00,Compact,N
36FLJG,10/20/10,10/21/10,10/22/10,ZD,BUDGET RENT A CAR,Fresno,CA,Fresno,CA,1,25.00,Compact,N
36H2YD,10/21/10,11/3/10,11/5/10,ZL,NATIONAL CAR RENTAL,Jackson/Vicksburg,MS,Jackson/Vicksburg,MS,2,34.00,Compact,Y
36VLBP,10/21/10,11/14/10,11/19/10,AL,ALAMO RENT A CAR,San Antonio,TX,San Antonio,TX,5,21.00,Economy,Y
37ARUO,10/22/10,10/25/10,10/25/10,ET,ENTERPRISE CARS,Pittsburgh,PA,Pittsburgh,PA,1,25.00,Economy,Y
37CQOZ,10/22/10,11/29/10,12/1/10,ZI,AVIS RENT A CAR,San Juan,PR,San Juan,PR,2,25.00,Compact,Y
37GNW9,10/19/10,10/20/10,10/21/10,ZL,NATIONAL CAR RENTAL,Austin,TX,Austin,TX,1,39.00,Intermediate,N
382YZM,10/11/10,10/14/10,10/15/10,ZL,NATIONAL CAR RENTAL,Miami,FL,Miami,FL,1,18.00,Intermediate,Y
38UGQS,10/13/10,10/18/10,10/22/10,ZI,AVIS RENT A CAR,Sioux Falls,SD,Sioux Falls,SD,4,52.00,Intermediate,Y
38VMIU,11/3/10,11/8/10,11/10/10,ZL,NATIONAL CAR RENTAL,Charlotte,NC,Charlotte,NC,2,40.00,Intermediate,N
